COMPANY_CD(String),ContactName(String),COMPANY_NM(String),PRODUCT_CD(Integer),PRODUCT_NM(String),QTY(Integer),discount(Float),COST(Float),OrderDate(DateTime)
FOLKO,Maria Larsson,Folk och fa HB,47,Zaanse koeken,30,0,"9.5",01/02/1996 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,59,Raclette Courdavault,35,0,55,11/14/1995 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,61,Sirop d'erable,30,"0.2","28.5",03/12/1996 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,2,Chang,25,"0.2","15.2",11/11/1994 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,41,Jack's New England Clam Chowder,25,"0.15","7.7",08/24/1994 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,55,Pate chinois,6,0,24,05/06/1996 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,22,Gustaf's Knackebrod,25,0,21,05/06/1996 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,44,Gula Malacca,10,0,"19.45",07/07/1995 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,11,Queso Cabrales,6,0,"16.8",03/06/1995 0:00:00
FOLKO,Maria Larsson,Folk och fa HB,75,Rhonbrau Klosterbier,12,"0.2","7.75",04/16/1996 0:00:00
FRANK,Peter Franken,Frankenversand,77,Original Frankfurter grune Sosse,15,0,13,04/04/1996 0:00:00
FRANK,Peter Franken,Frankenversand,59,Raclette Courdavault,70,"0.15",44,08/29/1994 0:00:00
FRANK,Peter Franken,Frankenversand,36,Inlagd Sill,20,0,"15.2",11/24/1994 0:00:00
FRANK,Peter Franken,Frankenversand,54,Tourtiere,35,"0.25","7.45",02/29/1996 0:00:00
FRANK,Peter Franken,Frankenversand,36,Inlagd Sill,40,"0.2","15.2",11/30/1994 0:00:00
FRANK,Peter Franken,Frankenversand,35,Steeleye Stout,30,"0.1",18,09/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,23,Tunnbrod,40,0,"7.2",01/27/1995 0:00:00
FRANK,Peter Franken,Frankenversand,2,Chang,24,"0.2","15.2",11/30/1994 0:00:00
FRANK,Peter Franken,Frankenversand,23,Tunnbrod,40,0,"7.2",11/24/1994 0:00:00
FRANK,Peter Franken,Frankenversand,76,Lakkalikoori,15,"0.15","14.4",08/29/1994 0:00:00
FRANK,Peter Franken,Frankenversand,59,Raclette Courdavault,30,0,44,04/27/1995 0:00:00
FRANK,Peter Franken,Frankenversand,54,Tourtiere,15,0,"7.45",11/24/1995 0:00:00
FRANK,Peter Franken,Frankenversand,26,Gumbar Gummibarchen,24,0,"24.9",11/24/1994 0:00:00
FRANK,Peter Franken,Frankenversand,37,Gravad lax,28,0,"20.8",11/24/1994 0:00:00
FRANK,Peter Franken,Frankenversand,58,Escargots de Bourgogne,30,0,"13.25",10/20/1995 0:00:00
FRANK,Peter Franken,Frankenversand,69,Gudbrandsdalsost,25,"0.05",36,11/24/1995 0:00:00
FRANK,Peter Franken,Frankenversand,21,Sir Rodney's Scones,60,0,10,04/04/1996 0:00:00
FRANK,Peter Franken,Frankenversand,23,Tunnbrod,32,0,9,10/17/1995 0:00:00
FRANK,Peter Franken,Frankenversand,41,Jack's New England Clam Chowder,20,"0.05","9.65",01/23/1996 0:00:00
FRANK,Peter Franken,Frankenversand,14,Tofu,30,0,"23.25",10/20/1995 0:00:00
FRANK,Peter Franken,Frankenversand,46,Spegesild,60,0,12,10/17/1995 0:00:00
FRANK,Peter Franken,Frankenversand,21,Sir Rodney's Scones,32,"0.05",10,11/24/1995 0:00:00
FRANK,Peter Franken,Frankenversand,62,Tarte au sucre,15,"0.25","49.3",07/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,16,Pavlova,30,"0.1","17.45",10/03/1995 0:00:00
FRANK,Peter Franken,Frankenversand,21,Sir Rodney's Scones,25,"0.1",10,09/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,71,Flotemysost,60,0,"17.2",01/27/1995 0:00:00
FRANK,Peter Franken,Frankenversand,31,Gorgonzola Telino,56,"0.2",10,11/30/1994 0:00:00
FRANK,Peter Franken,Frankenversand,30,Nord-Ost Matjeshering,20,0,"25.89",07/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,67,Laughing Lumberjack Lager,25,0,14,10/17/1995 0:00:00
FRANK,Peter Franken,Frankenversand,24,Guarana Fantastica,3,0,"4.5",09/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,24,Guarana Fantastica,40,"0.25","4.5",02/29/1996 0:00:00
FRANK,Peter Franken,Frankenversand,29,Thuringer Rostbratwurst,14,"0.05","123.79",01/23/1996 0:00:00
FRANK,Peter Franken,Frankenversand,64,Wimmers gute Semmelknodel,30,"0.25","33.25",02/29/1996 0:00:00
FRANK,Peter Franken,Frankenversand,19,Teatime Chocolate Biscuits,50,"0.05","9.2",05/09/1996 0:00:00
FRANK,Peter Franken,Frankenversand,14,Tofu,21,0,"23.25",09/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,19,Teatime Chocolate Biscuits,15,"0.1","9.2",09/07/1995 0:00:00
FRANK,Peter Franken,Frankenversand,75,Rhonbrau Klosterbier,49,0,"7.75",04/04/1996 0:00:00
FRANK,Peter Franken,Frankenversand,75,Rhonbrau Klosterbier,25,0,"7.75",10/17/1995 0:00:00
FRANK,Peter Franken,Frankenversand,55,Pate chinois,40,"0.2","19.2",11/30/1994 0:00:00
FRANK,Peter Franken,Frankenversand,71,Flotemysost,60,"0.05","21.5",05/09/1996 0:00:00
FRANK,Peter Franken,Frankenversand,60,Camembert Pierrot,36,"0.05",34,05/09/1996 0:00:00
FRANK,Peter Franken,Frankenversand,72,Mozzarella di Giovanni,25,0,"27.8",11/24/1994 0:00:00
FRANK,Peter Franken,Frankenversand,73,Rod Kaviar,20,"0.2",12,04/27/1995 0:00:00
FRANK,Peter Franken,Frankenversand,40,Boston Crab Meat,50,0,"14.7",08/29/1994 0:00:00
FRANK,Peter Franken,Frankenversand,73,Rod Kaviar,50,0,15,10/17/1995 0:00:00
FRANK,Peter Franken,Frankenversand,60,Camembert Pierrot,20,"0.1",34,10/03/1995 0:00:00
FRANK,Peter Franken,Frankenversand,53,Perth Pasties,10,0,"32.8",10/20/1995 0:00:00
FRANK,Peter Franken,Frankenversand,72,Mozzarella di Giovanni,21,0,"27.8",01/27/1995 0:00:00
FRANR,Carine Schmitt,France restauration,51,Manjimup Dried Apples,3,0,53,02/29/1996 0:00:00
FRANR,Carine Schmitt,France restauration,65,Louisiana Fiery Hot Pepper Sauce,12,0,"21.05",10/18/1995 0:00:00
FRANR,Carine Schmitt,France restauration,29,Thuringer Rostbratwurst,14,0,"123.79",04/23/1996 0:00:00
FRANR,Carine Schmitt,France restauration,16,Pavlova,10,0,"17.45",10/18/1995 0:00:00
FRANR,Carine Schmitt,France restauration,76,Lakkalikoori,20,0,18,02/29/1996 0:00:00
FRANR,Carine Schmitt,France restauration,62,Tarte au sucre,10,0,"49.3",10/18/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,77,Original Frankfurter grune Sosse,10,0,13,05/30/1996 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,40,Boston Crab Meat,1,0,"18.4",01/31/1996 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,74,Longlife Tofu,5,0,10,12/26/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,47,Zaanse koeken,5,0,"9.5",11/20/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,45,Rogede sild,4,0,"9.5",12/26/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,18,Carnarvon Tigers,8,0,"62.5",05/15/1996 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,26,Gumbar Gummibarchen,2,0,"24.9",02/22/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,60,Camembert Pierrot,4,0,34,05/30/1996 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,19,Teatime Chocolate Biscuits,5,0,"9.2",11/20/1995 0:00:00
FRANS,Paolo Accorti,Franchi S.p.A.,51,Manjimup Dried Apples,10,0,53,05/15/1996 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,24,Guarana Fantastica,10,0,"3.6",12/13/1994 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,54,Tourtiere,20,"0.15","5.9",12/13/1994 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,56,Gnocchi di nonna Alice,12,"0.15",38,10/11/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,56,Gnocchi di nonna Alice,30,"0.2","30.4",04/04/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,44,Gula Malacca,40,0,"19.45",06/28/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,10,Ikura,24,"0.15",31,10/11/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,65,Louisiana Fiery Hot Pepper Sauce,15,"0.15","21.05",10/11/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,16,Pavlova,40,"0.15","17.45",06/28/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,60,Camembert Pierrot,2,"0.15",34,04/18/1996 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,48,Chocolade,6,"0.1","12.75",08/18/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,4,Chef Anton's Cajun Seasoning,16,"0.2","17.6",04/04/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,60,Camembert Pierrot,20,0,"27.2",04/04/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,44,Gula Malacca,15,"0.15","15.5",05/01/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,68,Scottish Longbreads,10,0,10,11/14/1994 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,76,Lakkalikoori,10,"0.1",18,08/18/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,43,Ipoh Coffee,3,0,"36.8",04/04/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,59,Raclette Courdavault,9,0,44,11/14/1994 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,35,Steeleye Stout,20,"0.15",18,06/28/1995 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,65,Louisiana Fiery Hot Pepper Sauce,40,0,"16.8",11/14/1994 0:00:00
FURIB,Lino Rodriguez ,Furia Bacalhau e Frutos do Mar,77,Original Frankfurter grune Sosse,7,"0.15","10.4",05/01/1995 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,10,Ikura,5,0,31,07/14/1995 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,64,Wimmers gute Semmelknodel,7,0,"26.6",02/27/1995 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,65,Louisiana Fiery Hot Pepper Sauce,5,0,"16.8",12/29/1994 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,56,Gnocchi di nonna Alice,5,0,"30.4",02/27/1995 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,25,NuNuCa Nuss-Nougat-Creme,5,0,14,03/15/1996 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,77,Original Frankfurter grune Sosse,5,0,"10.4",12/29/1994 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,76,Lakkalikoori,5,0,18,04/04/1996 0:00:00
GALED,Eduardo Saavedra,Galeria del gastronomo,47,Zaanse koeken,5,0,"9.5",04/04/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,68,Scottish Longbreads,15,"0.1",10,10/12/1994 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,62,Tarte au sucre,20,"0.05","49.3",03/07/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,65,Louisiana Fiery Hot Pepper Sauce,30,"0.1","16.8",10/12/1994 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,10,Ikura,10,0,31,03/08/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,21,Sir Rodney's Scones,6,"0.1",10,06/28/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,68,Scottish Longbreads,18,0,"12.5",03/18/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,29,Thuringer Rostbratwurst,20,0,"123.79",09/12/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,64,Wimmers gute Semmelknodel,9,0,"33.25",09/12/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,64,Wimmers gute Semmelknodel,15,"0.05","33.25",03/07/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,61,Sirop d'erable,10,"0.1","28.5",06/28/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,67,Laughing Lumberjack Lager,15,0,14,03/28/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,55,Pate chinois,4,0,24,04/12/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,65,Louisiana Fiery Hot Pepper Sauce,21,"0.05","21.05",03/07/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,19,Teatime Chocolate Biscuits,10,0,"9.2",06/28/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,36,Inlagd Sill,18,"0.25",19,05/08/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,51,Manjimup Dried Apples,40,0,53,04/12/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,1,Chai,10,0,18,03/28/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,50,Valkoinen suklaa,9,0,"16.25",04/12/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,17,Alice Mutton,12,0,39,03/28/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,17,Alice Mutton,8,"0.1",39,06/28/1995 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,2,Chang,20,0,19,03/18/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,24,Guarana Fantastica,12,0,"4.5",05/08/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,55,Pate chinois,10,"0.05",24,03/07/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,60,Camembert Pierrot,9,0,34,05/08/1996 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,40,Boston Crab Meat,40,"0.1","14.7",10/12/1994 0:00:00
GODOS,Jose Pedro Freyre,Godos Cocina Tipica,70,Outback Lager,4,0,15,05/21/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,75,Rhonbrau Klosterbier,20,"0.15","7.75",04/17/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,41,Jack's New England Clam Chowder,4,0,"9.65",10/30/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,10,Ikura,20,0,31,10/30/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,76,Lakkalikoori,20,0,18,12/08/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,30,Nord-Ost Matjeshering,2,"0.25","25.89",10/02/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,42,Singaporean Hokkien Fried Mee,20,"0.2",14,01/15/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,7,Uncle Bob's Organic Dried Pears,3,"0.15",30,01/22/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,6,Grandma's Boysenberry Spread,30,0,25,12/08/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,8,Northwoods Cranberry Sauce,40,0,40,11/17/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,31,Gorgonzola Telino,14,0,10,02/23/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,42,Singaporean Hokkien Fried Mee,20,0,14,10/02/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,2,Chang,10,"0.2",19,05/24/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,30,Nord-Ost Matjeshering,15,0,"25.89",12/08/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,12,Queso Manchego La Pastora,4,"0.2",38,05/24/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,60,Camembert Pierrot,10,0,34,11/17/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,51,Manjimup Dried Apples,28,0,53,11/17/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,56,Gnocchi di nonna Alice,20,"0.15",38,01/22/1996 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,59,Raclette Courdavault,20,0,44,02/23/1995 0:00:00
GOURL,Andre Fonseca,Gourmet Lanchonetes,47,Zaanse koeken,15,0,"9.5",10/30/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,19,Teatime Chocolate Biscuits,30,"0.1","9.2",10/26/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,70,Outback Lager,15,"0.05",15,08/31/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,14,Tofu,3,"0.1","23.25",10/05/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,38,Cote de Blaye,15,"0.05","263.5",08/31/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,47,Zaanse koeken,6,"0.1","9.5",10/05/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,38,Cote de Blaye,30,"0.05","263.5",02/06/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,62,Tarte au sucre,20,"0.05","49.3",02/06/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,60,Camembert Pierrot,15,0,34,05/30/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,71,Flotemysost,15,"0.05","21.5",08/31/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,21,Sir Rodney's Scones,20,0,10,05/22/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,33,Geitost,8,"0.2","2.5",06/06/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,21,Sir Rodney's Scones,12,"0.1",10,10/26/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,72,Mozzarella di Giovanni,9,0,"34.8",06/06/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,1,Chai,8,0,18,05/07/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,56,Gnocchi di nonna Alice,14,0,38,08/31/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,29,Thuringer Rostbratwurst,2,"0.25","123.79",05/07/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,35,Steeleye Stout,4,0,18,08/04/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,36,Inlagd Sill,30,"0.2",19,04/08/1996 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,44,Gula Malacca,28,"0.1","19.45",10/05/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,59,Raclette Courdavault,30,"0.15",55,08/31/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,64,Wimmers gute Semmelknodel,28,0,"33.25",10/26/1995 0:00:00
GREAL,Howard Snyder,Great Lakes Food Market,11,Queso Cabrales,3,0,21,06/06/1995 0:00:00
GROSR,Manuel Pereira,GROSELLA-Restaurante,10,Ikura,10,0,31,01/18/1996 0:00:00
GROSR,Manuel Pereira,GROSELLA-Restaurante,75,Rhonbrau Klosterbier,10,0,"7.75",01/18/1996 0:00:00
GROSR,Manuel Pereira,GROSELLA-Restaurante,29,Thuringer Rostbratwurst,10,0,99,08/30/1994 0:00:00
GROSR,Manuel Pereira,GROSELLA-Restaurante,72,Mozzarella di Giovanni,4,0,"27.8",08/30/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,31,Gorgonzola Telino,35,0,"12.5",03/15/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,38,Cote de Blaye,4,"0.1","263.5",06/19/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,31,Gorgonzola Telino,10,0,"12.5",01/18/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,77,Original Frankfurter grune Sosse,40,0,13,03/15/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,36,Inlagd Sill,15,0,19,09/26/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,77,Original Frankfurter grune Sosse,30,"0.25",13,11/02/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,36,Inlagd Sill,25,"0.15",19,04/03/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,39,Chartreuse verte,42,0,"14.4",08/10/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,38,Cote de Blaye,60,0,"263.5",04/26/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,38,Cote de Blaye,5,0,"263.5",01/18/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,17,Alice Mutton,15,0,39,04/02/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,49,Maxilaku,40,0,16,08/10/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,51,Manjimup Dried Apples,35,"0.15","42.4",08/08/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,10,Ikura,70,0,31,03/15/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,65,Louisiana Fiery Hot Pepper Sauce,21,0,"21.05",03/26/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,65,Louisiana Fiery Hot Pepper Sauce,36,"0.1","21.05",06/19/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,56,Gnocchi di nonna Alice,20,"0.25",38,11/02/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,24,Guarana Fantastica,35,"0.1","4.5",06/19/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,52,Filo Mix,12,"0.15",7,04/03/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,65,Louisiana Fiery Hot Pepper Sauce,15,"0.15","16.8",08/08/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,18,Carnarvon Tigers,20,0,"62.5",09/26/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,24,Guarana Fantastica,35,0,"4.5",04/02/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,19,Teatime Chocolate Biscuits,35,0,"9.2",05/14/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,68,Scottish Longbreads,20,0,"12.5",03/26/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,41,Jack's New England Clam Chowder,10,0,"7.7",08/08/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,31,Gorgonzola Telino,20,0,10,08/10/1994 0:00:00
HANAR,Mario Pontes,Hanari Carnes,11,Queso Cabrales,15,"0.25",21,01/09/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,71,Flotemysost,9,"0.1","21.5",06/19/1995 0:00:00
HANAR,Mario Pontes,Hanari Carnes,43,Ipoh Coffee,30,"0.2",46,05/27/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,69,Gudbrandsdalsost,30,0,36,05/14/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,61,Sirop d'erable,10,"0.2","28.5",05/27/1996 0:00:00
HANAR,Mario Pontes,Hanari Carnes,13,Konbu,40,0,6,03/26/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,53,Perth Pasties,70,"0.1","26.2",01/26/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,35,Steeleye Stout,40,0,18,04/17/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,31,Gorgonzola Telino,20,0,"12.5",11/15/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,40,Boston Crab Meat,60,0,"18.4",09/22/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,46,Spegesild,28,"0.1","9.6",01/26/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,40,Boston Crab Meat,5,0,"18.4",05/08/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,32,Mascarpone Fabioli,4,0,32,11/15/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,51,Manjimup Dried Apples,25,0,"42.4",04/26/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,24,Guarana Fantastica,14,0,"4.5",05/08/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,44,Gula Malacca,10,0,"19.45",01/25/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,25,NuNuCa Nuss-Nougat-Creme,15,0,14,05/28/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,39,Chartreuse verte,6,0,"14.4",08/16/1994 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,24,Guarana Fantastica,15,0,"4.5",05/28/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,42,Singaporean Hokkien Fried Mee,30,0,14,05/08/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,30,Nord-Ost Matjeshering,30,0,"25.89",04/17/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,27,Schoggi Schokolade,25,0,"35.1",08/16/1994 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,24,Guarana Fantastica,10,"0.25","4.5",04/18/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,51,Manjimup Dried Apples,20,0,53,05/28/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,26,Gumbar Gummibarchen,21,"0.2","31.23",01/25/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,41,Jack's New England Clam Chowder,24,0,"9.65",04/18/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,41,Jack's New England Clam Chowder,30,0,"9.65",03/25/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,28,Rossle Sauerkraut,20,0,"45.6",04/24/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,74,Longlife Tofu,16,0,8,04/26/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,58,Escargots de Bourgogne,12,"0.15","13.25",03/04/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,55,Pate chinois,2,"0.05","19.2",04/17/1995 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,1,Chai,20,"0.15",18,03/04/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,69,Gudbrandsdalsost,24,"0.2",36,01/25/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,64,Wimmers gute Semmelknodel,8,0,"33.25",04/17/1996 0:00:00
HILAA,Carlos Hernandez,HILARIoN-Abastos,64,Wimmers gute Semmelknodel,35,"0.2","33.25",01/25/1996 0:00:00
